white;black;event;year;heatmap
Kasparov, Gary;Gurevich, Ilya;New York sim;1988;0.07,0.07,0.1,0.14,0.16,0.28,0.56,0.05,0.03,0.03,0.11,0.11,0.1,0.28,0.22,0.09,0.03,0.01,0.14,0.09,-0.02,0.01,0.09,0.0,-0.08,-0.06,0.07,-0.03,0.03,0.0,0.0,0.0,-0.06,-0.0,-0.07,0.06,0.0,0.0,-0.01,0.01,-0.05,-0.13,0.0,-0.06,0.01,-0.04,-0.09,-0.02,-0.01,-0.06,0.05,-0.02,-0.02,-0.12,-0.09,-0.09,-0.08,-0.08,-0.05,-0.36,-0.1,-0.18,-1.0,-0.03
Sasikiran,K;Polgar,Ju;IV World Blitz;2008;0.45,0.12,0.27,0.82,1.0,0.22,0.07,0.45,0.09,0.09,0.09,0.16,0.11,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.03,0.2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.22,-0.06,0.0,-0.09,-0.08,-0.09,-0.07,-0.09,-0.09,-0.16,-0.09,-0.45,-0.27,-0.27,-0.82,-1.0,-0.15,-0.05,-0.45
Grandelius, Nils;Duda, Jan-Krzysztof;84th Tata Steel Masters;2022;0.16,0.05,1.0,0.69,0.35,0.16,0.2,0.41,0.31,0.56,0.21,0.26,0.0,0.4,0.09,0.09,0.0,0.19,0.22,0.0,0.15,0.08,0.0,0.0,0.0,0.01,0.07,0.15,0.24,0.06,0.03,0.02,0.0,-0.01,-0.05,0.0,0.0,0.0,0.06,0.07,-0.18,-0.06,-0.3,-0.2,-0.18,-0.15,0.13,-0.21,-0.04,-0.18,-0.32,-0.03,-0.13,-0.17,-0.22,-0.04,-0.25,-0.65,-0.51,-0.48,-0.85,-0.44,-0.56,-0.39
Polgar, Judit;Fauland, Alexander;Vienna;1991;0.42,0.11,0.16,0.44,0.41,0.54,0.51,0.12,0.08,0.16,0.05,0.18,0.03,0.1,0.19,0.03,0.17,0.03,0.09,0.28,0.23,0.06,0.48,0.12,0.02,-0.04,0.0,0.16,0.04,0.07,0.04,0.13,0.0,0.01,-0.01,-0.2,0.07,-0.07,0.18,0.1,0.0,-0.17,-0.17,0.0,-0.09,-0.07,-0.18,-0.11,-0.12,-0.13,-0.08,-0.12,-0.19,-0.26,-0.33,-0.27,-0.43,-0.08,-0.33,-0.55,-0.18,-0.58,-1.0,-0.11
Medina Garcia, Antonio Angel;Panno, Oscar;Palma de Mallorca;1969;0.22,0.01,0.21,0.28,0.67,0.44,0.23,0.21,0.09,0.11,0.09,1.0,0.0,0.03,0.63,0.94,0.04,0.03,0.14,0.07,0.08,0.28,0.26,0.12,0.03,0.12,0.06,-0.2,0.19,-0.02,0.0,0.02,0.13,-0.12,-0.06,0.0,-0.11,0.03,-0.06,-0.11,-0.13,0.0,-0.13,0.05,-0.01,-0.15,-0.12,-0.02,-0.06,-0.19,-0.09,-0.7,-0.2,-0.13,-0.89,-0.12,-0.13,-0.39,-0.01,-0.48,-0.44,-0.39,-0.44,-0.96
Quinteros, Miguel A;Kasparov, Gary;Moscow Interzonal;1982;0.79,0.09,0.35,1.0,0.78,0.51,0.65,0.47,0.3,0.3,0.03,0.06,0.45,0.3,0.3,0.3,0.0,0.16,0.35,0.0,0.16,0.08,0.0,0.0,0.0,-0.08,0.15,0.14,0.2,0.0,0.0,0.0,-0.11,0.0,-0.12,0.08,-0.1,0.0,-0.1,0.0,0.0,0.0,-0.24,0.0,-0.18,-0.14,0.0,-0.01,-0.3,-0.3,-0.04,-0.08,-0.24,-0.3,-0.3,-0.24,-0.85,-0.33,-0.59,-0.65,-0.61,-0.74,-0.94,-0.36
Corte, Cesar Juan;Panno, Oscar;Buenos Aires;1952;0.37,0.09,0.13,0.5,1.0,0.35,0.93,0.44,0.35,0.39,0.07,0.07,0.77,0.03,0.05,0.04,0.0,0.02,0.21,0.13,0.11,0.13,0.0,0.17,0.02,0.14,0.03,0.03,0.16,0.03,0.14,0.0,-0.06,-0.06,0.18,0.03,-0.15,-0.02,0.01,0.0,-0.16,-0.18,-0.4,-0.13,0.03,-0.22,-0.13,0.0,-0.05,-0.24,-0.28,-0.06,-0.31,-0.15,-0.42,-0.21,-0.62,-0.02,-0.17,-0.34,-0.52,-0.46,-0.97,-0.62
Kasparov, Gary;Chate, Fred;BT Wireplay sim;1998;0.3,0.03,0.34,0.58,0.62,0.19,0.77,0.28,0.12,0.07,0.19,0.32,0.05,0.12,0.12,0.12,0.0,0.05,0.21,0.19,0.09,0.05,0.0,0.0,0.0,0.0,0.01,0.09,0.0,0.11,0.0,0.0,0.0,-0.08,0.0,-0.11,0.04,-0.18,-0.03,0.01,-0.05,0.0,-0.09,0.0,-0.13,0.01,-0.07,-0.08,-0.08,-0.46,0.01,-0.08,-0.07,-0.12,-0.21,-0.12,-0.38,-0.06,-0.04,-0.45,-1.0,-0.15,-0.36,-0.4
Kasparov, Gary;Shirov, Alexei;Dos Hermanas;1996;0.8,0.07,0.32,0.54,1.0,0.18,0.05,0.63,0.1,0.22,0.07,0.46,0.07,0.06,0.28,0.28,0.0,0.01,0.19,0.0,0.0,0.27,0.0,0.0,0.13,0.09,0.16,-0.12,0.01,0.0,0.0,0.0,0.0,0.11,-0.16,-0.03,0.11,-0.04,0.0,0.0,-0.01,0.0,-0.12,-0.4,-0.16,-0.45,0.0,0.0,-0.16,-0.22,-0.02,-0.05,-0.26,-0.23,-0.28,-0.28,-0.76,-0.2,-0.09,-0.37,-0.6,-0.33,-0.43,-0.36
Carlsen,M;Polgar,Ju;World Blitz;2009;0.41,0.12,0.04,0.56,0.64,0.42,0.95,0.19,0.13,0.17,0.05,0.03,0.36,0.19,0.11,0.13,0.0,0.12,0.02,0.18,-0.02,0.04,0.03,0.0,0.02,0.0,0.08,-0.02,0.09,0.05,0.0,0.0,0.0,0.0,-0.08,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,-0.09,-0.11,-0.09,-0.12,0.0,0.0,-0.13,-0.04,-0.01,-0.04,-0.13,-0.13,-0.13,-0.13,-0.49,-0.04,-0.12,-0.93,-0.69,-0.31,-1.0,-0.22
Polgar, Judit;Ivanchuk, Vassily;Dos Hermanas;1996;0.2,0.05,0.1,0.54,0.45,0.29,0.22,0.89,0.16,0.09,0.17,0.05,0.03,0.02,0.29,0.21,-0.03,0.09,0.15,0.08,0.21,0.15,0.07,0.14,0.25,-0.03,0.13,0.12,0.18,0.41,0.0,0.0,-0.03,0.02,0.12,-0.04,0.05,-0.06,-0.05,-0.05,-0.06,-0.06,-0.16,0.06,-0.03,-0.23,-0.04,0.0,-0.15,-0.25,-0.26,-0.22,-0.24,-0.15,-0.15,-0.33,-0.35,-0.31,-0.18,-0.6,-0.35,-0.32,-1.0,-0.17
Kasparov, Gary;Topalov, Veselin;Geneve Credit Suisse;1996;0.37,0.07,0.26,0.36,0.42,0.44,0.3,0.92,0.22,0.08,0.15,0.08,0.23,0.14,0.26,0.18,0.02,0.01,0.18,0.05,0.07,0.17,0.09,-0.03,0.0,-0.01,-0.16,0.18,0.0,0.08,0.0,-0.05,-0.02,-0.15,-0.03,-0.32,-0.01,0.29,0.05,-0.02,-0.1,-0.07,-0.24,-0.08,-0.08,-0.6,-0.01,-0.05,-0.02,-0.21,-0.14,-0.42,-0.04,-0.22,-0.1,0.05,-0.29,-0.04,-0.17,-0.3,-0.5,-0.22,-1.0,-0.14
Kramnik, Vladimir;Polgar, Judit;WDR TV;1997;0.27,0.4,0.2,0.38,0.19,0.27,0.09,0.64,0.16,0.1,0.01,0.52,0.29,0.05,0.51,0.18,0.0,0.17,0.3,0.01,0.22,0.26,0.0,0.0,-0.02,0.0,0.2,0.06,0.2,0.0,0.09,0.03,-0.22,0.1,-0.15,0.02,-0.11,0.01,0.03,0.0,0.0,-0.21,-0.05,-0.21,-0.22,-0.22,-0.16,-0.01,-0.07,-0.16,-0.12,-0.19,-0.03,-0.16,-0.33,-0.16,-0.54,-0.12,-0.31,-0.52,-0.48,-0.12,-1.0,-0.09
Kasparov, Gary;Supper, Y.;Colmar simul;1998;0.33,0.03,0.37,0.4,1.0,0.09,0.04,0.39,0.15,0.17,0.04,0.35,0.13,0.17,0.06,0.03,0.0,0.0,0.36,0.19,0.0,0.19,0.03,-0.03,0.03,0.0,-0.04,0.14,0.01,0.06,-0.01,0.14,-0.03,0.0,-0.07,-0.1,0.13,-0.06,0.21,-0.01,0.0,-0.06,-0.01,0.01,-0.03,-0.08,0.01,-0.13,-0.14,-0.15,-0.03,-0.21,-0.23,-0.06,-0.17,-0.04,-0.48,-0.18,-0.37,-0.41,-0.27,-0.88,-0.77,-0.08
Kasparov, Gary;Timman, Jan H;Hilversum KRO m;1985;0.62,0.05,0.04,0.21,0.62,0.2,1.0,0.24,0.17,0.04,0.08,0.0,0.02,0.17,0.17,0.05,0.0,0.0,0.18,0.16,0.12,0.09,0.28,0.0,0.0,-0.04,0.09,0.16,-0.02,0.07,-0.04,0.13,0.02,0.12,-0.01,-0.11,0.02,-0.04,0.02,0.0,0.0,-0.2,0.0,-0.11,-0.06,-0.22,-0.15,-0.05,-0.17,-0.22,-0.11,-0.07,0.01,-0.27,-0.03,-0.18,-0.67,-0.18,-0.13,-0.34,-0.78,-0.15,-0.38,-0.34
Polgar,Ju;Wojtaszek,R;HUN-POL Friendly Match m 2014;2014;0.46,0.14,0.26,0.11,0.5,0.09,0.76,0.15,0.02,0.19,0.09,0.4,0.36,0.23,0.07,0.5,0.0,0.26,0.4,0.11,0.84,0.22,0.39,0.07,0.04,0.1,0.0,0.75,0.12,0.26,0.01,0.0,0.43,-0.21,-0.07,0.24,0.0,-0.3,0.01,0.0,-0.49,-0.05,0.01,-0.5,-0.19,-1.0,-0.05,-0.37,0.02,-0.42,-0.26,-0.44,-0.8,-0.21,-0.51,-0.14,-0.41,-0.04,-0.2,-0.55,-0.3,-0.23,-0.73,-0.18
Anand, Viswanathan;Kasparov, Gary;Dos Hermanas;1996;0.44,0.23,0.86,1.0,0.63,0.61,0.04,0.92,0.31,0.31,0.2,0.15,-0.08,0.09,0.08,0.31,-0.01,0.0,0.22,0.24,0.24,0.24,0.29,0.0,0.0,-0.07,0.0,0.12,0.17,0.12,0.12,0.0,0.0,0.0,-0.02,0.0,-0.12,-0.02,0.1,0.0,-0.25,0.0,-0.29,-0.28,-0.02,-0.13,-0.01,-0.12,-0.06,-0.31,-0.01,-0.02,-0.27,-0.31,-0.37,-0.08,-0.92,-0.22,-0.53,-0.67,-0.96,-0.51,-0.67,-0.58
Modotti, Pierino;Panno, Oscar;Mar del Plata op;1994;0.22,0.17,0.06,0.74,0.47,0.05,0.6,0.39,0.11,-0.05,0.06,0.05,0.0,0.2,0.11,0.09,0.0,0.02,-0.15,0.13,0.03,0.12,0.02,0.02,0.06,-0.03,0.0,0.02,0.01,0.08,0.0,0.0,0.0,-0.02,-0.19,-0.09,0.08,0.0,0.0,0.0,-0.02,-0.11,-0.09,0.0,-0.1,-0.03,0.0,0.0,-0.11,-0.03,-0.01,-0.04,-0.01,-0.11,-0.11,-0.11,-0.36,-0.05,-0.1,-0.33,-1.0,-0.17,-0.33,-0.33
Kasparov,G;Ivanchuk,V;SuperGM;2002;0.22,0.07,0.63,0.92,0.88,0.2,0.71,0.29,0.04,0.1,0.03,0.02,0.26,0.82,0.14,0.16,0.15,0.0,0.19,0.0,0.15,0.09,0.05,0.0,0.12,0.09,0.16,0.18,0.19,0.08,0.0,0.03,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.16,0.04,-0.23,-0.12,-0.18,-0.17,0.0,-0.05,-0.06,-0.19,-0.42,-0.24,-0.3,-0.19,-0.19,-0.13,-0.58,-0.24,-0.28,-0.31,-0.79,-1.0,-0.99,-0.21
Quinteros, Miguel A;Panno, Oscar;Buenos Aires op;1968;0.29,0.13,0.2,0.29,0.32,0.27,0.92,0.32,0.04,0.07,0.73,0.41,0.15,0.47,0.23,0.23,0.13,0.22,0.16,0.1,0.26,0.46,0.0,0.16,0.12,-0.18,0.11,0.42,0.0,0.24,0.01,0.26,-0.27,-0.03,0.17,-0.17,0.16,-0.21,0.21,0.04,-0.05,0.0,-0.33,-0.07,-0.28,-0.14,-0.21,-0.26,-0.16,-0.14,-0.36,-0.39,-0.29,-0.4,-0.27,-0.32,-0.68,-0.06,-0.21,-0.46,-0.51,-0.28,-0.57,-1.0
Kamsky, Gata;Kasparov, Gary;Dortmund;1992;0.22,0.19,0.32,0.42,0.31,0.72,0.9,0.56,0.05,0.08,0.42,0.18,0.21,0.07,0.18,0.15,0.03,0.15,0.34,0.0,0.0,0.12,0.2,-0.1,0.0,0.13,0.19,0.04,0.05,-0.04,0.0,-0.13,-0.03,0.22,0.02,0.14,-0.13,-0.1,-0.04,-0.21,0.0,0.0,-0.01,-0.01,0.0,-0.17,-0.19,-0.01,-0.05,-0.2,-0.13,-0.24,-0.08,-0.06,-0.23,-0.2,-0.8,-0.07,-0.19,-0.79,-0.24,-0.49,-0.63,-1.0
Kasparov,G;Kramnik,V;Braingames WCC;2000;0.55,0.1,0.17,0.54,0.19,0.18,1.0,0.08,0.17,0.11,0.15,0.04,0.18,0.17,0.57,0.06,0.0,0.05,0.19,-0.19,0.0,0.16,0.0,0.12,-0.04,0.0,0.08,0.04,0.01,0.08,0.11,0.0,-0.04,0.04,-0.15,-0.04,0.11,-0.07,-0.05,0.0,0.0,-0.1,-0.18,-0.02,-0.12,-0.01,0.0,-0.13,-0.02,-0.12,-0.18,-0.06,-0.07,-0.72,-0.14,-0.05,-0.51,-0.02,-0.15,-0.39,-0.93,-0.18,-0.04,-0.48
Panno, Oscar;Rosito, Jorge;ARG-ch;1995;0.55,0.02,0.14,0.51,0.93,0.37,0.8,0.42,0.15,-0.11,0.0,0.28,0.25,0.15,0.14,0.04,0.0,0.04,0.17,-0.04,0.0,0.0,0.1,0.11,0.0,-0.01,-0.04,-0.09,0.08,-0.04,0.08,0.33,0.0,0.0,0.0,0.02,-0.13,-0.09,0.23,-0.03,0.0,0.0,-0.22,-0.08,-0.15,-0.25,-0.13,0.0,-0.15,-0.15,-0.15,-0.37,-0.0,-0.16,-0.4,0.13,-0.74,-0.03,-0.1,-0.35,-0.59,-0.28,-1.0,-0.27
Morozevich,A;Polgar,Ju;13th GrenkeLeasing Rapid WCh 3rd-4th;2008;0.49,0.03,0.09,0.49,0.63,0.1,0.95,0.15,0.03,0.16,0.17,0.31,0.14,0.46,0.46,0.9,0.0,0.01,0.18,0.11,-0.01,0.19,-0.06,0.09,0.04,0.11,-0.06,-0.01,0.23,-0.13,0.06,0.04,0.08,-0.03,0.05,0.11,-0.15,-0.06,0.08,-0.01,-0.13,-0.03,0.0,-0.13,-0.01,-0.17,-0.11,-0.24,-0.03,-0.02,-0.01,-0.04,-0.35,-0.18,-0.9,-0.15,-0.48,-0.07,-0.24,-0.48,-0.44,-0.27,-0.99,-1.0
Ivkov, Borislav;Panno, Oscar;Siegen olm;1970;0.19,0.02,0.14,0.09,0.38,0.19,1.0,0.13,0.06,0.13,0.31,0.22,0.04,0.14,0.11,0.07,0.06,0.01,0.05,0.03,0.15,0.19,0.0,0.07,0.02,0.02,0.05,0.1,0.1,0.04,0.04,0.0,-0.01,0.0,-0.02,-0.04,0.0,-0.01,-0.0,0.0,-0.08,-0.11,0.08,0.05,-0.14,-0.53,-0.04,-0.07,-0.06,-0.27,-0.07,-0.05,-0.15,-0.11,-0.18,-0.19,-0.19,-0.04,-0.18,-0.35,-0.21,-0.26,-0.85,-0.07
Marchand, Erich Watkinson;Fischer, Robert James;Washington;1956;0.21,0.28,0.03,0.83,0.43,0.57,0.76,0.2,0.17,0.28,0.38,0.1,0.7,0.88,0.28,0.07,0.07,0.16,0.07,-0.01,0.13,0.08,0.12,0.02,0.0,0.09,0.09,0.11,-0.14,0.07,-0.08,-0.0,0.0,0.0,0.02,-0.05,-0.01,-0.16,-0.07,-0.09,0.0,-0.02,-0.11,-0.08,-0.13,-0.28,-0.64,0.0,-0.14,-0.12,-0.63,-0.21,-0.32,-0.37,-0.45,-0.19,-0.56,-0.06,-0.15,-0.32,-0.26,-0.25,-1.0,-0.42
Carlsen,M;Tari,A;83rd Tata Steel Masters;2021;0.29,1.0,0.26,0.57,0.51,0.21,0.04,0.55,0.36,0.42,0.01,0.0,0.09,0.16,0.29,0.32,0.28,0.21,0.21,0.0,-0.02,0.13,0.0,0.12,0.02,0.06,0.03,0.1,-0.05,0.14,-0.01,0.0,-0.1,0.2,0.03,0.2,-0.03,-0.1,0.03,0.08,-0.25,-0.06,-0.31,0.36,-0.12,-0.62,-0.05,-0.14,-0.2,-0.48,-0.37,-0.01,-0.64,-0.17,-0.13,-0.16,-0.38,-0.23,-0.47,-0.62,-0.81,-0.24,-0.02,-0.51
Larsen, Bent;Polgar, Judit;Roquebrune rapid;1992;0.32,0.06,0.09,0.41,0.22,0.22,0.44,0.13,0.05,0.15,0.21,0.15,0.04,0.05,0.35,0.49,0.02,0.09,0.06,0.27,0.0,0.06,0.24,0.13,-0.02,0.05,0.1,-0.22,0.35,0.1,0.29,0.05,-0.04,0.03,-0.01,0.03,-0.05,0.0,0.19,0.18,0.0,-0.15,-0.22,-0.11,-0.02,-0.14,-0.11,-0.2,0.05,-0.11,-0.14,-0.26,-0.11,-0.31,-0.43,-0.07,-0.22,-0.03,-0.1,-0.35,-0.33,-0.37,-1.0,-0.33
Polgar,Ju;Topalov,V;XIV Rapid;2008;0.15,0.04,0.03,0.48,0.41,0.02,1.0,0.04,0.03,0.03,0.13,0.06,0.17,0.12,0.12,0.21,0.02,0.03,0.02,0.0,0.0,0.13,0.21,0.08,0.1,-0.18,-0.06,0.0,0.08,0.03,0.12,-0.08,-0.07,-0.01,-0.0,0.04,-0.1,0.1,0.01,0.06,-0.11,0.0,-0.07,-0.1,0.0,-0.15,-0.02,-0.06,-0.01,-0.06,-0.03,0.0,-0.12,-0.12,-0.08,-0.06,-0.21,-0.21,-0.13,-0.4,-0.29,-0.54,-0.76,-0.07
Ivanchuk, Vassily;Kasparov, Gary;Linares;1992;0.21,0.14,0.12,0.29,0.21,0.31,1.0,0.22,0.04,0.09,0.6,0.1,0.06,0.03,0.11,0.11,0.03,0.0,0.07,0.06,0.0,0.09,0.0,0.0,0.0,0.02,0.07,0.02,0.1,-0.07,-0.01,0.0,0.05,0.05,-0.03,0.09,-0.09,-0.01,-0.01,0.0,-0.01,-0.03,0.02,-0.2,0.0,-0.21,-0.16,0.0,-0.02,-0.04,-0.1,-0.17,-0.07,-0.07,-0.19,-0.11,-0.25,-0.12,-0.1,-0.52,-0.18,-0.29,-0.29,-1.0
Kasparov, Gary;Short, Nigel D;Tilburg;1991;0.13,0.06,1.0,0.56,0.31,0.16,0.03,0.62,0.03,0.08,0.13,0.38,0.17,0.08,0.02,0.01,0.06,0.08,0.15,0.47,0.06,0.32,0.04,0.05,0.0,0.04,0.09,0.15,0.01,0.0,0.11,0.01,0.04,0.08,0.0,-0.11,0.0,0.06,0.02,0.06,0.04,-0.03,-0.14,-0.14,-0.08,-0.32,-0.09,-0.1,-0.16,-0.12,-0.26,-0.19,-0.24,-0.72,-0.33,-0.06,-0.11,-0.68,-0.42,-0.43,-0.52,-0.14,-0.1,-0.2
Gurevich, Mikhail;Kasparov, Gary;Reggio Emilia9192;1992;0.2,0.01,0.09,0.44,0.46,0.22,0.14,1.0,0.09,0.08,0.04,0.4,0.16,0.11,0.28,0.16,-0.07,0.13,0.04,0.12,0.14,0.05,0.15,0.03,-0.01,-0.11,0.04,-0.01,0.11,0.08,0.02,0.0,-0.04,-0.03,-0.1,0.0,-0.08,-0.05,0.0,0.0,-0.02,-0.33,-0.13,-0.08,-0.03,-0.08,-0.15,0.01,-0.05,-0.06,-0.03,-0.06,-0.01,-0.04,-0.34,-0.14,-0.14,-0.06,-0.23,-0.38,-0.21,-0.48,-0.67,-0.56
Kasparov,G;Krasenkow,M;Olympiad;2002;0.37,0.1,0.15,0.81,0.51,0.18,1.0,0.1,0.09,0.13,0.18,0.08,0.0,0.13,0.11,0.08,0.0,0.1,0.08,0.0,0.0,0.24,0.0,0.05,0.19,0.0,0.0,0.04,-0.12,0.06,-0.02,0.0,0.0,-0.04,-0.03,-0.08,-0.02,0.0,-0.06,-0.1,-0.12,0.0,-0.14,0.0,-0.03,-0.11,0.0,0.0,-0.02,-0.03,-0.13,-0.04,-0.1,-0.13,-0.13,-0.13,-0.54,-0.02,-0.09,-0.67,-0.72,-0.22,-0.65,-0.27
Panno, Oscar;Benko, Francisco;Inauguracio op;1992;0.17,0.03,0.06,0.4,0.51,0.41,1.0,0.13,0.12,0.05,0.07,0.26,0.09,0.05,0.14,0.14,0.0,0.09,0.07,-0.01,0.24,0.11,0.0,0.0,0.02,0.04,0.12,0.1,0.04,0.09,0.0,0.0,0.0,-0.01,-0.05,0.08,0.0,-0.11,0.0,-0.07,0.0,-0.07,-0.08,-0.12,-0.08,-0.03,-0.13,-0.07,-0.11,-0.07,-0.15,-0.13,-0.07,-0.13,-0.13,-0.54,-0.21,-0.05,-0.22,-0.31,-0.57,-0.33,-0.51,-0.12
Keres, Paul;Panno, Oscar;Gothenburg Interzonal;1955;0.2,0.4,1.0,0.57,0.43,0.16,0.02,0.41,0.14,0.14,0.09,0.17,0.24,0.03,0.14,0.11,0.0,0.0,0.14,0.03,0.0,0.03,0.12,0.0,0.01,0.0,0.01,0.28,0.13,0.02,0.0,0.06,0.0,0.0,-0.0,0.0,-0.17,-0.0,0.05,0.0,-0.12,0.13,-0.08,-0.03,-0.12,-0.11,-0.04,-0.02,-0.02,-0.14,-0.14,-0.05,-0.18,-0.16,-0.16,-0.06,-0.37,-0.46,-0.43,-0.2,-0.97,-0.33,-0.41,-0.41
Polgar, Zsuzsa;Polgar, Judit;Amber-blind 2nd;1993;0.13,0.13,0.17,0.87,0.33,0.31,0.92,0.1,0.04,0.04,0.13,0.14,0.4,0.1,0.76,0.11,-0.04,-0.02,0.0,0.06,0.01,0.16,0.15,0.0,0.03,0.02,0.07,-0.01,0.25,0.0,0.01,0.05,-0.26,0.35,-0.16,0.1,0.03,0.0,0.07,0.0,0.04,0.0,-0.02,-0.18,-0.08,-0.08,-0.21,0.0,-0.23,0.27,-0.1,-0.14,-0.69,-0.29,-0.6,-0.22,0.13,-0.2,-0.1,-0.72,-0.26,-0.57,-1.0,-0.07
Dubov, Daniil;Grandelius, Nils;84th Tata Steel Masters;2022;0.14,0.31,0.4,0.23,0.36,-0.06,0.0,0.6,0.36,0.4,0.16,0.59,0.24,0.14,0.05,0.04,0.03,0.09,0.32,0.33,0.37,0.31,0.0,0.0,-0.08,-0.12,-0.21,0.24,0.11,0.06,0.12,0.03,-0.03,-0.18,-0.04,-0.16,0.16,-0.09,-0.14,0.14,-0.24,-0.2,-0.2,-0.02,-0.16,0.01,-0.03,-0.18,-0.12,-0.06,0.04,-0.14,-0.12,-0.2,-0.14,-0.51,-0.07,-0.01,-0.2,-0.36,-0.6,-0.68,-1.0,-0.27
Reinhardt, Enrique Heinrich;Panno, Oscar;Buenos Aires;1965;0.2,0.16,0.07,0.52,1.0,0.21,0.48,0.44,0.01,0.01,0.14,0.38,0.16,0.04,0.16,0.16,-0.18,0.0,0.11,0.0,0.0,0.02,0.0,0.0,-0.18,-0.04,0.01,0.14,0.16,0.02,0.0,0.0,-0.11,0.0,-0.02,-0.14,0.17,0.01,0.26,0.13,-0.13,-0.04,-0.1,-0.08,-0.12,-0.11,0.0,0.0,-0.03,-0.07,-0.22,-0.32,-0.04,-0.07,-0.16,-0.16,-0.48,-0.12,-0.28,-0.25,-0.92,-0.39,-0.05,-0.65
Fischer, Robert James;Gross, H.;USA-op;1956;0.36,0.07,0.14,0.39,0.5,0.33,1.0,0.09,0.04,0.1,0.1,0.08,0.05,0.1,0.19,0.1,0.06,0.0,0.05,0.04,0.18,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.06,0.0,-0.1,-0.04,0.0,-0.06,0.0,0.0,0.0,0.0,-0.13,0.0,-0.08,-0.11,-0.11,0.0,-0.04,-0.1,-0.1,-0.01,-0.27,-0.1,-0.1,-0.1,-0.34,-0.07,-0.04,-0.61,-0.81,-0.18,-0.45,-0.27
Karjakin,Sergey;Polgar,Ju;FIDE World Cup 2011;2011;0.29,0.1,0.28,0.63,0.13,0.43,0.76,0.08,0.09,0.16,0.18,0.07,0.0,0.12,0.22,0.25,0.0,0.06,0.09,0.0,0.0,0.12,0.09,0.11,0.04,0.0,-0.09,0.03,-0.23,-0.05,0.02,0.11,0.0,-0.2,-0.09,-0.09,0.06,-0.1,-0.06,0.17,-0.09,0.0,-0.13,0.0,-0.1,-0.09,0.0,0.11,-0.02,-0.03,-0.08,-0.22,-0.29,-0.11,-0.14,-0.25,-0.29,-0.02,-0.09,-0.31,-0.15,-0.34,-1.0,-0.17
Karjakin, Sergey;Carlsen, Magnus;WCh 2016;2016;0.35,0.07,0.13,0.34,0.25,0.32,1.0,0.07,-0.04,0.07,0.11,0.02,-0.03,0.03,0.13,0.12,0.1,0.05,0.04,0.11,-0.01,0.12,0.0,0.06,0.02,0.0,0.01,-0.01,0.08,0.01,0.14,0.0,-0.03,-0.1,-0.01,0.01,-0.04,0.02,0.12,0.02,-0.09,0.0,-0.04,-0.05,-0.16,-0.12,0.0,-0.04,-0.01,-0.02,-0.05,-0.22,-0.06,-0.05,-0.13,-0.24,-0.25,-0.02,-0.02,-0.35,-0.49,-0.26,-0.81,-0.13
Polgar,Ju;Karpov,Ana;Trophee CCAS GpA;2010;0.25,0.06,0.13,0.35,0.27,0.02,1.0,0.04,0.01,0.1,0.08,0.11,0.01,0.19,0.13,0.09,0.09,0.03,0.09,0.03,0.06,0.12,0.17,-0.16,-0.05,0.0,-0.05,0.11,0.03,0.0,0.04,0.07,0.0,-0.04,-0.01,-0.04,-0.06,0.09,-0.05,0.0,-0.1,0.0,-0.31,0.06,-0.11,-0.07,-0.11,-0.12,0.01,-0.04,-0.04,-0.07,-0.05,-0.13,-0.25,-0.07,-0.18,-0.02,-0.16,-0.29,-0.34,-0.18,-0.44,-0.24
Donner, Jan Hein;Panno, Oscar;Gothenburg Interzonal;1955;0.7,0.12,0.32,0.89,0.16,0.65,0.88,0.1,0.07,0.12,0.04,0.27,0.32,0.23,0.44,0.11,0.16,0.04,0.07,0.0,0.04,0.15,0.22,0.04,0.0,0.11,0.03,0.12,0.0,0.04,-0.05,0.0,-0.11,-0.05,0.01,-0.06,-0.04,-0.11,0.0,0.0,-0.17,0.0,-0.04,-0.15,0.0,-0.38,-0.21,0.0,-0.06,-0.11,-0.36,-0.34,-0.16,-0.23,-0.43,-0.23,-0.33,-0.11,-0.26,-0.65,-0.18,-0.58,-1.0,-0.11
Kasparov, Gary;Karpov, Anatoly;World Championship 31th-KK1;1984;0.56,0.06,0.23,0.81,0.96,0.27,0.34,0.43,0.04,0.14,0.01,0.03,0.06,0.14,0.14,0.14,0.1,0.0,0.21,0.11,0.02,0.23,0.0,0.0,0.0,0.0,0.04,0.08,0.02,0.0,0.0,0.0,0.0,0.0,-0.06,-0.01,0.0,0.03,0.05,0.0,-0.01,-0.11,0.0,-0.07,-0.07,-0.2,0.0,0.0,-0.13,-0.23,-0.19,-0.19,-0.02,-0.14,-0.14,-0.14,-0.56,-0.13,-0.07,-0.72,-1.0,-0.31,-0.27,-0.44
